borough,grant,value,grant_category
Bexley,Dedicated Schools Grant (DSG),427.2251521298175,Dedicated Schools Grant (DSG)
Bromley,Dedicated Schools Grant (DSG),352.8878787878788,Dedicated Schools Grant (DSG)
Greenwich,Dedicated Schools Grant (DSG),882.5250778277413,Dedicated Schools Grant (DSG)
Bexley,Pupil Premium Grant,5.578093306288032,Pupil Premium Grant
Bromley,Pupil Premium Grant,3.939393939393939,Pupil Premium Grant
Greenwich,Pupil Premium Grant,34.13005880318229,Pupil Premium Grant
Bexley,Universal Infants Free School Meals,3.103448275862069,Other
Bromley,Universal Infants Free School Meals,0.7090909090909091,Other
Greenwich,Universal Infants Free School Meals,0.0,Other
Bexley,Public Health Grant ,44.17849898580122,Public Health Grant 
Bromley,Public Health Grant ,49.68787878787879,Public Health Grant 
Greenwich,Public Health Grant ,89.64372189553788,Public Health Grant 
Bexley,Social Care Support Grant,72.15415821501014,Social Care Support Grant
Bromley,Social Care Support Grant,23.215151515151515,Social Care Support Grant
Greenwich,Social Care Support Grant,109.27706675890695,Social Care Support Grant
Bexley,Rural Services Delivery Grant,0.0,Other
Bromley,Rural Services Delivery Grant,0.0,Other
Greenwich,Rural Services Delivery Grant,0.0,Other
Bexley,Improved Better Care Fund,26.83975659229209,Improved Better Care Fund
Bromley,Improved Better Care Fund,23.42727272727273,Improved Better Care Fund
Greenwich,Improved Better Care Fund,53.38637149775164,Improved Better Care Fund
Bexley,ASC Market Sustainability and Improvement Fund,16.47870182555781,Other
Bromley,ASC Market Sustainability and Improvement Fund,15.78181818181818,Other
Greenwich,ASC Market Sustainability and Improvement Fund,20.131442407471464,Other
Bexley,Services Grant,1.0385395537525357,Other
Bromley,Services Grant,0.8151515151515152,Other
Greenwich,Services Grant,2.01660325147008,Other
Bexley,Adult Social Care Discharge Fund,6.271805273833672,Other
Bromley,Adult Social Care Discharge Fund,5.472727272727273,Other
Greenwich,Adult Social Care Discharge Fund,12.473192666897267,Other
Bexley,Funding Guarantee,0.0,Other
Bromley,Funding Guarantee,0.0,Other
Greenwich,Funding Guarantee,0.0,Other
Bexley,Flexible Homelessness Support Grant,11.371196754563895,Other
Bromley,Flexible Homelessness Support Grant,11.44848484848485,Other
Greenwich,Flexible Homelessness Support Grant,13.05084745762712,Other
Bexley,Housing Benefit Subsidy Admin Grant,2.791075050709939,Other
Bromley,Housing Benefit Subsidy Admin Grant,2.2303030303030305,Other
Greenwich,Housing Benefit Subsidy Admin Grant,6.087858872362505,Other
Bexley,New Homes Bonus,3.821501014198783,Other
Bromley,New Homes Bonus,1.2393939393939395,Other
Greenwich,New Homes Bonus,3.770321687997233,Other
Bexley,The Private Finance Initiative (PFI),12.105476673427992,The Private Finance Initiative (PFI)
Bromley,The Private Finance Initiative (PFI),0.0,The Private Finance Initiative (PFI)
Greenwich,The Private Finance Initiative (PFI),49.74749221722588,The Private Finance Initiative (PFI)
Bexley,Police Officer Uplift Grant,0.0,Other
Bromley,Police Officer Uplift Grant,0.0,Other
Greenwich,Police Officer Uplift Grant,0.0,Other
Bexley,Other grants within AEF ,22.69371196754564,Other grants within AEF 
Bromley,Other grants within AEF ,61.02727272727272,Other grants within AEF 
Greenwich,Other grants within AEF ,11.912832929782082,Other grants within AEF 
Bexley,Adult and Community Learning from the ESFA,12.86815415821501,Other
Bromley,Adult and Community Learning from the ESFA,0.0909090909090909,Other
Greenwich,Adult and Community Learning from the ESFA,6.776202006226219,Other
Bexley,Sixth Form Funding from the ESFA,0.0,Other
Bromley,Sixth Form Funding from the ESFA,9.057575757575757,Other
Greenwich,Sixth Form Funding from the ESFA,22.013144240747145,Other
Bexley,Mandatory Rent Allowances: subsidy ,232.57200811359027,Mandatory Rent Allowances: subsidy 
Bromley,Mandatory Rent Allowances: subsidy ,178.93030303030304,Mandatory Rent Allowances: subsidy 
Greenwich,Mandatory Rent Allowances: subsidy ,249.9584918713248,Mandatory Rent Allowances: subsidy 
Bexley,Mandatory Rent Rebates outside HRA: subsidy ,0.0,Mandatory Rent Rebates outside HRA: subsidy 
Bromley,Mandatory Rent Rebates outside HRA: subsidy ,34.00606060606061,Mandatory Rent Rebates outside HRA: subsidy 
Greenwich,Mandatory Rent Rebates outside HRA: subsidy ,45.52404012452438,Mandatory Rent Rebates outside HRA: subsidy 
Bexley,Rent Rebates Granted to HRA Tenants: subsidy,0.0,Rent Rebates Granted to HRA Tenants: subsidy
Bromley,Rent Rebates Granted to HRA Tenants: subsidy,0.0,Rent Rebates Granted to HRA Tenants: subsidy
Greenwich,Rent Rebates Granted to HRA Tenants: subsidy,134.56243514354895,Rent Rebates Granted to HRA Tenants: subsidy
Bexley,Other grants outside AEF ,0.0,Other
Bromley,Other grants outside AEF ,7.46969696969697,Other
Greenwich,Other grants outside AEF ,5.2023521272915945,Other
