borough,inner_outer,area,population,party
City of London,Inner London,1.12,9721,Labour
Barking and Dagenham,Outer London,13.93,212906,Labour
Barnet,Outer London,33.49,395896,Labour
Bexley,Outer London,23.38,248287,Conservatives
Brent,Outer London,16.7,329771,Labour
Bromley,Outer London,57.97,332336,Conservatives
Camden,Inner London,8.4,270029,Labour
Croydon,Outer London,33.41,386710,Conservatives
Ealing,Outer London,21.44,341806,Labour
Enfield,Outer London,31.74,333794,Labour
Greenwich,Outer London,18.28,287942,Labour
Hackney,Inner London,7.36,281120,Labour
Hammersmith and Fulham,Inner London,6.33,185143,Labour
Haringey,Outer London,11.42,268647,Labour
Harrow,Outer London,19.49,251160,Conservatives
Havering,Outer London,43.35,259552,Other
Hillingdon,Outer London,44.67,306870,Conservatives
Hounslow,Outer London,21.61,271523,Labour
Islington,Inner London,5.74,242467,Labour
Kensington and Chelsea,Inner London,4.68,156129,Labour
Kingston upon Thames,Outer London,14.38,177507,LibDem
Lambeth,Inner London,10.36,326034,Labour
Lewisham,Inner London,13.57,305842,Labour
Merton,Outer London,14.52,206548,Labour
Newham,Outer London,13.98,353134,Labour
Redbridge,Outer London,21.78,305222,Labour
Richmond upon Thames,Outer London,22.17,198019,LibDem
Southwark,Inner London,11.14,318830,Labour
Sutton,Outer London,16.93,206349,LibDem
Tower Hamlets,Inner London,7.63,324745,Labour
Waltham Forest,Outer London,14.99,276983,Labour
Wandsworth,Inner London,13.23,329677,Labour
Westminster,Inner London,8.29,261317,Labour
