borough,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barking and Dagenham,2190630,2102000,1733000,1127000,733000,1185000,2314900,5311383,4494000
Barnet,4682956,4911379,3598778,3300536,1470672,1084278,1477509,2475289,2332000
Bexley,4009921,2627129,1986300,1606419,1101996,690883,1058274,1985170,1668100
Brent,3854048,3408505,3213368,3196200,2436629,2109000,1398500,2537000,1348000
Bromley,4294500,3712300,2431000,4002800,1815298,1236000,1484000,1679000,1516000
Camden,4197308,3046842,3632130,4544526,1899368,3127997,3814351,4956000,3884000
Westminster,8758155,5065804,4470398,6635011,1539510,2231000,1737000,2366000,1329000
Croydon,4733809,5193985,5031313,3501431,1922870,1272626,3284213,3183287,2773000
Ealing,4005596,3829200,3708000,5126760,1868151,812000,2205000,3625000,3197000
Enfield,4826500,4287165,3414480,4329554,2653950,2544978,4534722,3959000,4509000
Greenwich,4899045,3656664,3563809,2828530,1107315,872187,1590000,2062607,2077400
Hackney,4122000,2838000,2418500,2998857,1428224,2478457,1660242,3516987,2896000
Hammersmith and Fulham,3329500,3071000,2855000,2294000,922825,1344000,1360000,1368000,1258000
Haringey,4762492,2920750,3356000,4103445,1493358,1588000,1254378,1908479,1852000
Harrow,2599154,2452995,1817974,1715812,1627233,969868,807414,1997995,1860000
Havering,2908444,2850169,1725730,2496130,832481,505524,1158438,1348754,1711500
Hillingdon,3988249,3131408,4141700,2470345,1097780,745700,1586349,1508716,1781000
Hounslow,2786000,2646000,2727000,3555393,1759000,1423722,1253000,2084000,1639000
Islington,2758393,2190778,2165959,2226518,899673,1069054,997446,2711741,1463000
Kensington and Chelsea,3258908,2092000,1588916,2354000,865860,352869,691700,1046000,1238000
Kingston upon Thames,2815188,1897001,1498000,1636873,710393,1712000,965000,1295925,1604000
Lambeth,4061183,3090985,2110547,3843461,1710252,2179000,1951100,2775000,1465000
Lewisham,3995670,2664565,2373071,2795127,1641882,1174431,1559634,1969953,3582400
Merton,2402880,1837025,1476024,2479163,1713205,1691105,934847,1617137,1058000
Newham,3329440,3392290,3278907,4558730,1870194,3242048,2559645,3492826,3979000
Redbridge,3451277,2617679,3135000,2523252,884790,1039448,1425000,1994000,2230000
Richmond upon Thames,2618694,3327005,2606000,1549981,1267285,1216671,1336547,2888354,2047000
Southwark,4514000,3709000,3548461,3629529,1715417,1355000,3080600,3083000,2388000
Sutton,1622000,1238191,1173555,1734500,508632,437000,1136000,1608722,1399000
Tower Hamlets,3551000,1835797,2690687,2983592,1431179,2164883,264000,180000,542000
Waltham Forest,4460889,4022105,3209082,4906111,2573092,2767999,2739585,3414865,2467000
Wandsworth,3139925,2297000,2330946,2669561,1182890,1732723,1713000,2043000,1400000
