name,type,is_special,latitude,longitude,leaver_class_size_2023
Aspire Academy Bexley,primary,1,51.4621046,0.122891543,
Barnehurst Junior School,primary,0,51.46926608,0.161898857,60
Barrington Primary School,primary,0,51.46446692,0.124396823,30
Bedonwell Junior School,primary,0,51.479481,0.134135,120
Belmont Academy,primary,0,51.47244002,0.145725365,60
Belvedere Infant School,infant,0,51.49082895,0.158532669,
Belvedere Junior School,primary,0,51.49051426,0.158694058,63
Benedict House Preparatory School,primary,0,51.42836068,0.100350119,18
Beths Grammar School,secondary,0,51.44656,0.150747,
Bexley Grammar School,secondary,0,51.456744,0.108472,
Bexleyheath Academy,secondary,0,51.459547,0.14524,
Birkbeck Primary School,primary,0,51.431935,0.105806,60
Bishop Ridley CE VA Primary School,primary,0,51.45952255,0.088536476,60
Blackfen School for Girls,secondary,0,51.449172,0.111937,
Brampton Primary Academy,primary,0,51.46693697,0.128393193,60
Break Through School,secondary,1,51.47999028,0.143900655,
Burnt Oak Junior School,primary,0,51.437654,0.100789,57
Bursted Wood Primary School,primary,0,51.46730156,0.153055545,90
Castilion Primary School,primary,0,51.510298,0.12135,53
Chatsworth Infant School,infant,0,51.44011923,0.105285746,
Chislehurst and Sidcup Grammar School,secondary,0,51.435793,0.107782,
Christ Church (Erith) CE Primary School,primary,0,51.47779773,0.170785483,60
Cleeve Meadow School,secondary,1,51.42878164,0.11808896,
Cleeve Park School,secondary,0,51.42880954,0.119503649,
Cornerstone School,secondary,1,51.48917424,0.157746922,
Crook Log Primary School,primary,0,51.45799267,0.126577367,60
Danson Primary School,primary,0,51.456744,0.108472,90
Days Lane Primary School,primary,0,51.4476265,0.098421894,90
Dulverton Primary School,primary,0,51.43641673,0.080847019,60
East Wickham Primary Academy,primary,0,51.469185,0.100263,90
Endeavour Academy Bexley,secondary,0,51.45793224,0.16896328,
Fairford Academy Barnehurst,primary,0,51.46865276,0.172333545,64
Foster's Primary School,primary,0,51.463108,0.121566,60
Gravel Hill Primary School,primary,0,51.4544651,0.153265396,60
Haberdashers' Crayford Primary,primary,0,51.45676712,0.187338718,30
Haberdashers' Slade Green Primary,primary,0,51.47284951,0.192051265,60
Harris Academy Falconwood,secondary,0,51.45841104,0.086709067,
Harris Garrard Academy,primary,0,51.496377,0.133196,60
Hillsgrove Primary School,primary,0,51.47467273,0.118016758,55
Holy Trinity (Lamorbey) CE Primary School,primary,0,51.485253,0.160677,60
Hook Lane Primary School,primary,0,51.4613274,0.103875995,60
Hope Community School,primary,0,51.419389,0.119339,20
Hurst Primary School,primary,0,51.44119111,0.127697585,90
Hurstmere School,secondary,0,51.4382987,0.113960116,
Jubilee Primary School,primary,0,51.504817,0.121571,30
Leigh Academy Bexley,secondary,0,51.474235,0.166161,
Leigh Stationers' Primary Academy,primary,0,51.4632998,0.083198962,30
Lessness Heath Primary School,primary,0,51.48300401,0.14892801,90
Longlands Primary School,primary,0,51.43118992,0.090405508,45
Marlborough School,secondary,1,51.44201703,0.10158423,
Mayplace Primary School,primary,0,51.456878,0.166693,60
Merton Court Preparatory School,primary,0,51.42372563,0.112909426,40
Northumberland Heath Primary School,primary,0,51.473528,0.15671,60
Northwood Primary School,primary,0,51.49227774,0.13826237,30
Old Bexley CE Primary School,primary,0,51.44043203,0.141064525,120
Orchard Primary School,primary,0,51.41968134,0.110483,30
Our Lady of the Rosary RC Primary School,primary,0,51.4474634,0.091954424,60
Parkview Academy,secondary,1,51.46139978,0.115575582,
Parkway Primary School,primary,0,51.49283501,0.134180477,30
Peareswood Primary School,primary,0,51.470988,0.182178,52
Pelham Primary School,primary,0,51.459172,0.149023,60
Royal Park Primary Academy,primary,0,51.430638,0.129326,60
Shenstone School,all-through,1,51.45383391,0.171309492,
Sherwood Park Primary School,primary,0,51.44806876,0.111861868,60
St Augustine of Canterbury CE Primary School,primary,0,51.490151,0.143723,26
St Catherine's RC School,secondary,0,51.45415152,0.156981377,
St Columba's RC Boys' School,secondary,0,51.45261236,0.155720719,
St Fidelis RC Primary School,primary,0,51.47687382,0.162009363,60
St John Fisher RC Primary School,primary,0,51.50570008,0.161444961,30
St Joseph's RC Primary School,primary,0,51.45416961,0.172365263,30
St Michael's East Wickham CE Primary School,primary,0,51.46947175,0.119927725,30
St Paulinus CE Primary School,primary,0,51.45529111,0.177586019,23
St Paul's (Slade Green) CE Primary School,primary,0,51.47284951,0.192051265,60
St Peter Chanel RC Primary School,primary,0,51.42091891,0.117489654,30
St Stephen's RC Primary School,primary,0,51.46445462,0.10462913,60
St Thomas More RC Primary School,primary,0,51.466788,0.139288,60
Townley Grammar School,secondary,0,51.45025,0.139767,
Upland Primary School,primary,0,51.46165,0.13696,60
Upton Primary School,primary,0,51.44999517,0.135756462,60
Welling School,secondary,0,51.46841,0.112826,
West Lodge Preparatory School,primary,0,51.42913409,0.101934753,20
Willow Bank Primary School,primary,0,51.49730026,0.125628045,50
Woodside Academy,all-through,1,51.47438443,0.194240112,
